,nowConfirm,confirmAdd,dead,heal,zero
上海,0,1,0,1,0
云南,0,0,0,0,5
内蒙古,4,4,0,0,0
北京,-14,0,0,14,7
台湾,0,0,0,0,2
吉林,0,0,0,0,50
四川,0,0,0,0,4
天津,0,0,0,0,1
宁夏,0,0,0,0,131
安徽,0,0,0,0,95
山东,1,1,0,0,0
山西,0,0,0,0,3
广东,2,2,0,0,0
广西,0,0,0,0,114
新疆,0,0,0,0,146
江苏,0,0,0,0,20
江西,0,0,0,0,106
河北,0,0,0,0,18
河南,0,0,0,0,105
浙江,0,0,0,0,1
海南,0,0,0,0,30
湖北,0,0,0,0,55
湖南,0,0,0,0,102
澳门,0,0,0,0,17
甘肃,0,0,0,0,8
福建,0,0,0,0,22
西藏,0,0,0,0,165
贵州,0,0,0,0,106
辽宁,0,0,0,0,2
重庆,0,0,0,0,28
陕西,0,0,0,0,7
青海,0,0,0,0,158
香港,21,38,0,17,0
黑龙江,0,0,0,0,63
