nation,confirm,population,rate
卡塔尔,104016,2781677,37393
巴林,33476,1569439,21330
智利,317657,18729160,16961
科威特,56174,4137309,13577
阿曼,59568,4829483,12334
巴拿马,47173,4176873,11294
亚美尼亚,32490,2951776,11007
美国,3479483,327167434,10635
秘鲁,330123,31989256,10320
巴西,1884967,209469333,8999
新加坡,46630,5638676,8270
卢森堡,4956,607728,8155
瑞典,76001,10183175,7463
沙特阿拉伯,237803,33699947,7056
白俄罗斯,65269,9485386,6881
西班牙,303033,46723749,6486
阿联酋,55198,9300000,5935
比利时,62781,11422068,5496
摩尔多瓦,19439,3545883,5482
冰岛,1905,353574,5388
马尔代夫,2762,515696,5356
爱尔兰,25638,4853506,5282
吉布提,4977,958920,5190
俄罗斯,738787,144478050,5113
南非,287796,57779622,4981
以色列,41235,8883800,4642
葡萄牙,46818,10281762,4553
英国,291691,66488991,4387
玻利维亚,49250,11353142,4338
多米尼加,45506,10627165,4282
意大利,243230,60431283,4025
厄瓜多尔,68459,17084357,4007
瑞士,33016,8516543,3877
哈萨克斯坦,61755,18276499,3379
伊朗,262173,81800269,3205
法国,209640,66987244,3130
哥伦比亚,150445,49648685,3030
洪都拉斯,28579,9587522,2981
荷兰,51361,17231017,2981
加拿大,110046,37058856,2969
加蓬,6026,2119275,2843
塞尔维亚,18983,6982084,2719
土耳其,214001,82319724,2600
阿塞拜疆,24570,9942334,2471
德国,200456,82927922,2417
墨西哥,304435,126190788,2412
赤道几内亚,3071,1308974,2346
阿根廷,103265,44494502,2321
丹麦,13262,5797446,2288
奥地利,19021,8847037,2150
伊拉克,81757,38433600,2127
黑山,1287,622345,2068
波黑,6981,3516816,1985
吉尔吉斯斯坦,11444,6315800,1812
罗马尼亚,33585,19473936,1725
危地马拉,29742,17247807,1724
挪威,8984,5314336,1691
哥斯达黎加,8036,4999441,1607
萨尔瓦多,10303,6420744,1605
爱沙尼亚,2015,1320884,1525
巴勒斯坦,6764,4684777,1444
芬兰,7301,5518050,1323
阿尔巴尼亚,3667,2866376,1279
乌克兰,55931,44622516,1253
捷克,13238,10625695,1246
毛里塔尼亚,5446,4403319,1237
巴基斯坦,253604,212215030,1195
孟加拉,190057,161356039,1178
保加利亚,7411,7024216,1055
波兰,38457,37978548,1013
斯威士兰,1389,1390000,999
几内亚比绍,1842,1874309,983
克罗地亚,3827,4089400,936
阿富汗,34740,37172386,935
中非共和国,4321,4666377,926
斯洛文尼亚,1859,2067372,899
塞浦路斯,1022,1189265,859
埃及,83001,98423595,843
加纳,24988,29767108,839
塔吉克斯坦,6596,9100837,725
立陶宛,1875,2789533,672
印度,906752,1352617328,670
拉脱维亚,1174,1926542,609
尼泊尔,17061,28087871,607
海地,6727,11123176,605
喀麦隆,15173,25216237,602
菲律宾,57545,106651922,540
塞内加尔,8243,15854360,520
科特迪瓦,12872,24900000,517
几内亚,6141,12414318,495
阿尔及利亚,19689,42228429,466
摩洛哥,16047,36029138,445
尼加拉瓜,2846,6465513,440
匈牙利,4258,9768785,436
巴拉圭,2980,6956071,428
乌兹别克斯坦,13993,32955400,425
澳大利亚,10251,24992369,410
刚果（布）,2028,5260000,386
希腊,3826,10727668,357
黎巴嫩,2419,6848925,353
斯洛伐克,1908,5450000,350
委内瑞拉,9707,28870195,336
新西兰,1545,4885500,316
印度尼西亚,78572,267663435,294
马来西亚,8729,31528585,277
韩国,13512,51269185,264
苏丹,10316,41801533,247
利比亚,1512,6678567,226
塞拉利昂,1642,7650154,215
古巴,2428,11338138,214
利比里亚,1024,4818977,212
索马里,3072,15008154,205
马达加斯加,5343,26262368,203
肯尼亚,10294,51393010,200
日本本土,22422,126529100,177
尼日利亚,33153,195874740,169
马拉维,2430,18143315,134
马里,2423,19077690,127
斯里兰卡,2651,21440000,124
贝宁,1378,11485048,120
约旦,1183,9956011,119
突尼斯,1302,11565204,113
卢旺达,1378,12301939,112
赞比亚,1895,17351822,109
刚果（金）,8135,84068091,97
津巴布韦,1034,14439018,72
埃塞俄比亚,7766,109224559,71
布基纳法索,1037,19190000,54
也门,1498,28498687,53
尼日尔,1099,22442948,49
泰国,3227,69428524,46
莫桑比克,1219,29495962,41
乌干达,1040,42723139,24
